"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Brd1","1","SSD1306","","","","",""
"BT2","1","Battery_Cell","","","","","~"
"C3,C4","2","22uF","","","","","~"
"D1,D2","2","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D3","1","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"L2","1","4.7uH","","","","","~"
"M1","1","Stepper_Motor_unipolar_5pin","","","","","http://www.infineon.com/dgdl/Application-Note-TLE8110EE_driving_UniPolarStepperMotor_V1.1.pdf?fileId=db3a30431be39b97011be5d0aa0a00b0"
"R3","1","110k","","","","","~"
"R4","1","15k","","","","","~"
"SW2","1","SW_SPST","","","","","~"
"U1","1","~","","","","",""
"U3","1","ULN2003","","","","ULN2003:DIP762W46P254L1969H533Q16",""
"U5","1","MT3608","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf"
